Id,transaction_type,category,transaction_name,amount,transaction_date,payment_mode,remarks,created_at
1,income,gifts,Refund from Store,31313.82,2026-01-09,other,Received from Refund from Store,1/9/2026 11:48
2,expense,travel,Online shopping,1134.74,2026-02-03,cash,Spent on Online shopping,2/3/2026 11:42
3,income,investment,Client Payment,7290.42,2022-06-25,net-banking,Received from Client Payment,6/26/2022 6:52
4,expense,shopping,Taxi Ride,4678.19,2025-12-17,credit-card,Spent on Taxi Ride,12/17/2025 3:24
5,income,refunds,Gift from Friend,14752.42,2021-04-27,net-banking,Received from Gift from Friend,4/27/2021 2:50
6,expense,shopping,Coffee,2743.86,2020-10-03,cash,Spent on Coffee,10/4/2020 1:07
7,income,refunds,Company Salary,24908.49,2022-09-24,other,Received from Company Salary,9/25/2022 12:04
8,expense,entertainment,Chicken Biryani,4010.09,2022-03-30,wallet,Spent on Chicken Biryani,3/30/2022 6:54
9,income,other-income,Gift from Friend,41655.32,2024-05-28,net-banking,Received from Gift from Friend,5/28/2024 8:41
10,expense,education,Taxi Ride,1051.02,2021-05-03,upi,Spent on Taxi Ride,5/3/2021 9:50
11,income,Salary,Gift from Friend,43956.39,2022-12-10,wallet,Received from Gift from Friend,12/11/2022 6:08
12,income,other-income,Refund from Store,3229.58,2020-09-15,wallet,Received from Refund from Store,9/15/2020 9:57
13,expense,other-expense,Movie Ticket,3960.68,2021-02-09,net-banking,Spent on Movie Ticket,2/9/2021 5:27
14,expense,health,Coffee,3365.22,2020-02-11,debit-card,Spent on Coffee,2/11/2020 6:36
15,expense,bill,Movie Ticket,3039.52,2023-06-28,wallet,Spent on Movie Ticket,6/29/2023 10:49
16,income,other-income,Client Payment,15864.75,2020-06-11,net-banking,Received from Client Payment,6/11/2020 5:20
17,income,Salary,Gift from Friend,4137.51,2022-12-17,credit-card,Received from Gift from Friend,12/17/2022 12:24
18,income,Freelance,Stock Profit,19387.48,2020-08-26,net-banking,Received from Stock Profit,8/27/2020 12:40
19,expense,food,Burger,4639.6,2020-02-09,net-banking,Spent on Burger,2/9/2020 9:42
20,income,investment,Client Payment,49785.53,2020-05-10,wallet,Received from Client Payment,5/11/2020 1:46
21,income,other-income,Stock Profit,6617.74,2023-09-11,wallet,Received from Stock Profit,9/11/2023 7:23
22,expense,travel,Pizza,2133.21,2025-12-27,credit-card,Spent on Pizza,12/27/2025 10:07
23,expense,shopping,Pizza,2192.98,2024-08-01,cash,Spent on Pizza,8/1/2024 9:03
24,income,gifts,Gift from Friend,12263.64,2022-05-23,credit-card,Received from Gift from Friend,5/23/2022 10:02
25,income,refunds,Client Payment,46725,2024-07-13,wallet,Received from Client Payment,7/14/2024 1:07
26,income,other-income,Company Salary,20276.34,2025-03-29,credit-card,Received from Company Salary,3/30/2025 1:34
27,income,Freelance,Gift from Friend,29917.48,2022-09-09,debit-card,Received from Gift from Friend,9/9/2022 6:10
28,expense,Rent,Burger,3042.86,2022-12-13,cash,Spent on Burger,12/13/2022 4:24
29,income,investment,Gift from Friend,41645.21,2024-12-27,net-banking,Received from Gift from Friend,12/27/2024 2:12
30,income,investment,Company Salary,27805.03,2020-01-08,wallet,Received from Company Salary,1/8/2020 1:12
31,income,Salary,Gift from Friend,21311.94,2021-08-30,other,Received from Gift from Friend,8/30/2021 5:39
32,income,investment,Company Salary,23860.98,2021-02-05,other,Received from Company Salary,2/6/2021 1:38
33,income,investment,Gift from Friend,40225.85,2023-02-26,net-banking,Received from Gift from Friend,2/27/2023 3:47
34,income,refunds,Client Payment,35793.57,2022-09-26,cash,Received from Client Payment,9/27/2022 1:17
35,expense,Transportation,House Rent,2382.86,2022-09-18,other,Spent on House Rent,9/18/2022 7:07
36,income,Salary,Client Payment,9355.38,2025-09-25,debit-card,Received from Client Payment,9/25/2025 2:45
37,income,refunds,Stock Profit,9988.15,2020-05-25,credit-card,Received from Stock Profit,5/26/2020 2:01
38,expense,other-expense,Pizza,4780.43,2025-06-14,upi,Spent on Pizza,6/14/2025 9:10
39,income,gifts,Company Salary,25095.96,2020-09-09,credit-card,Received from Company Salary,9/10/2020 4:19
40,income,gifts,Stock Profit,22940.45,2021-07-21,wallet,Received from Stock Profit,7/21/2021 10:14
41,income,investment,Company Salary,23954.37,2020-01-21,credit-card,Received from Company Salary,1/22/2020 1:46
42,expense,Rent,Veg Meals,3763.04,2020-10-23,upi,Spent on Veg Meals,10/23/2020 1:50
43,expense,other-expense,Burger,4940.64,2021-10-23,other,Spent on Burger,10/23/2021 1:21
44,expense,travel,House Rent,622.26,2025-09-03,cash,Spent on House Rent,9/3/2025 11:30
45,expense,entertainment,Chicken Biryani,2726.77,2025-06-24,cash,Spent on Chicken Biryani,6/24/2025 3:40
46,income,Salary,Gift from Friend,36400.19,2025-09-17,debit-card,Received from Gift from Friend,9/17/2025 2:26
